Category	Value	Fon Kodu	Tarih
Vadeli İşlemler Nakit Teminatları	1,54	AK3	2024-02-04
Hisse Senedi	96,63	YCP	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,32	YCP	2024-02-04
Mevduat (TL)	1,63	YCP	2024-02-04
Yatırım Fonları Katılma Payları	1,42	YCP	2024-02-04
Hisse Senedi	93,67	HKH	2024-02-04
Yatırım Fonları Katılma Payları	1,1	HKH	2024-02-04
Katılma Hesabı (TL)	5,23	HKH	2024-02-04
Hisse Senedi	89,81	ICZ	2024-02-04
Mevduat (TL)	2,27	ICZ	2024-02-04
Takasbank Para Piyasası	4,87	ICZ	2024-02-04
Devlet Tahvili	3,05	ICZ	2024-02-04
Hisse Senedi	92,52	IHK	2024-02-04
Takasbank Para Piyasası	7,48	IHK	2024-02-04
Hisse Senedi	95,56	IDH	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,56	IDH	2024-02-04
Takasbank Para Piyasası	2,88	IDH	2024-02-04
Yabancı Hisse Senedi	59,06	IJZ	2024-02-04
Ters-Repo	5,74	IJZ	2024-02-04
Hisse Senedi	35,2	IJZ	2024-02-04
Hisse Senedi	83,93	EID	2024-02-04
Yatırım Fonları Katılma Payları	3,94	EID	2024-02-04
Takasbank Para Piyasası	12,13	EID	2024-02-04
Hisse Senedi	92,93	TTE	2024-02-04
Takasbank Para Piyasası	7,07	TTE	2024-02-04
Hisse Senedi	90,01	TI2	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,3	TI2	2024-02-04
Takasbank Para Piyasası	9,69	TI2	2024-02-04
Hisse Senedi	57,29	GZN	2024-02-04
Yatırım Fonları Katılma Payları	1,04	GZN	2024-02-04
Yabancı Hisse Senedi	29,56	GZN	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	3,69	GZN	2024-02-04
Vadeli İşlemler Nakit Teminatları	8,42	GZN	2024-02-04
Hisse Senedi	91,73	NNF	2024-02-04
Yatırım Fonları Katılma Payları	8,27	NNF	2024-02-04
Hisse Senedi	88,51	GAF	2024-02-04
Vadeli İşlemler Nakit Teminatları	4,45	GAF	2024-02-04
Yatırım Fonları Katılma Payları	7,04	GAF	2024-02-04
Hisse Senedi	94,9	HVZ	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,47	HVZ	2024-02-04
Yatırım Fonları Katılma Payları	4,63	HVZ	2024-02-04
Hisse Senedi	81,41	YHZ	2024-02-04
Yatırım Fonları Katılma Payları	1,93	YHZ	2024-02-04
Takasbank Para Piyasası	6,34	YHZ	2024-02-04
Mevduat (TL)	2,11	YHZ	2024-02-04
Ters-Repo	5,63	YHZ	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,58	YHZ	2024-02-04
Yabancı Hisse Senedi	48,38	IRT	2024-02-04
Mevduat (TL)	0,01	IRT	2024-02-04
Hisse Senedi	26,56	IRT	2024-02-04
Vadeli İşlemler Nakit Teminatları	10,14	IRT	2024-02-04
Yatırım Fonları Katılma Payları	14,91	IRT	2024-02-04
Hisse Senedi	98,18	AAV	2024-02-04
Yatırım Fonları Katılma Payları	0,13	AAV	2024-02-04
Takasbank Para Piyasası	1,69	AAV	2024-02-04
Hisse Senedi	90,01	ACC	2024-02-04
Mevduat (TL)	1,54	ACC	2024-02-04
Yatırım Fonları Katılma Payları	6,59	ACC	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,86	ACC	2024-02-04
Hisse Senedi	87,97	YHS	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,39	YHS	2024-02-04
Takasbank Para Piyasası	4,49	YHS	2024-02-04
Yatırım Fonları Katılma Payları	2,4	YHS	2024-02-04
Mevduat (TL)	2,75	YHS	2024-02-04
Hisse Senedi	91,19	TYH	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,33	TYH	2024-02-04
Takasbank Para Piyasası	3,5	TYH	2024-02-04
Yatırım Fonları Katılma Payları	2,98	TYH	2024-02-04
Hisse Senedi	90,79	DHJ	2024-02-04
Mevduat (TL)	1,42	DHJ	2024-02-04
Takasbank Para Piyasası	7,79	DHJ	2024-02-04
Hisse Senedi	95,45	TI3	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,62	TI3	2024-02-04
Takasbank Para Piyasası	3,93	TI3	2024-02-04
Hisse Senedi	91,73	GMR	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	0,27	GMR	2024-02-04
Vadeli İşlemler Nakit Teminatları	5,22	GMR	2024-02-04
Yatırım Fonları Katılma Payları	2,78	GMR	2024-02-04
Yabancı Hisse Senedi	49,4	ZMY	2024-02-04
Vadeli İşlemler Nakit Teminatları	4,39	ZMY	2024-02-04
Hisse Senedi	25,38	ZMY	2024-02-04
Yatırım Fonları Katılma Payları	5,69	ZMY	2024-02-04
Ters-Repo	8,08	ZMY	2024-02-04
Borsa Yatırım Fonları Katılma Payları	7,06	ZMY	2024-02-04
Hisse Senedi	91,33	GTM	2024-02-04
Ters-Repo	3,1	GTM	2024-02-04
Takasbank Para Piyasası	5,57	GTM	2024-02-04
Yabancı Borsa Yatırım Fonları	76,89	OJT	2024-02-04
Mevduat (TL)	0,11	OJT	2024-02-04
Hisse Senedi	13,91	OJT	2024-02-04
Takasbank Para Piyasası	0,73	OJT	2024-02-04
Ters-Repo	4,52	OJT	2024-02-04
Yatırım Fonları Katılma Payları	3,84	OJT	2024-02-04
Hisse Senedi	82,38	SUB	2024-02-04
Finansman Bonosu	1,3	SUB	2024-02-04
Takasbank Para Piyasası	9,91	SUB	2024-02-04
Diğer	6,41	SUB	2024-02-04
Hisse Senedi	94,99	PPB	2024-02-04
Yatırım Fonları Katılma Payları	0,41	PPB	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,06	PPB	2024-02-04
Takasbank Para Piyasası	1,54	PPB	2024-02-04
Hisse Senedi	95,85	GSP	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,22	GSP	2024-02-04
Yatırım Fonları Katılma Payları	3,93	GSP	2024-02-04
Hisse Senedi	92,22	ICF	2024-02-04
Takasbank Para Piyasası	1,71	ICF	2024-02-04
Vadeli İşlemler Nakit Teminatları	6,07	ICF	2024-02-04
Hisse Senedi	96,34	GLG	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,66	GLG	2024-02-04
Hisse Senedi	92,64	KPC	2024-02-04
Yatırım Fonları Katılma Payları	7,36	KPC	2024-02-04
Hisse Senedi	94,36	HMS	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,65	HMS	2024-02-04
Takasbank Para Piyasası	3,99	HMS	2024-02-04
Hisse Senedi	96,05	IFN	2024-02-04
Takasbank Para Piyasası	1,18	IFN	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,77	IFN	2024-02-04
Yatırım Fonları Katılma Payları	84,45	IRF	2024-02-04
Hisse Senedi	5,32	IRF	2024-02-04
Vadeli İşlemler Nakit Teminatları	10,23	IRF	2024-02-04
Hisse Senedi	95,44	GOH	2024-02-04
Yatırım Fonları Katılma Payları	0,2	GOH	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,05	GOH	2024-02-04
Takasbank Para Piyasası	0,8	GOH	2024-02-04
Ters-Repo	1,51	GOH	2024-02-04
Hisse Senedi	91,76	FYD	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,79	FYD	2024-02-04
Ters-Repo	4,32	FYD	2024-02-04
Takasbank Para Piyasası	2,13	FYD	2024-02-04
Hisse Senedi	95,56	KYA	2024-02-04
Vadeli İşlemler Nakit Teminatları	4,44	KYA	2024-02-04
Hisse Senedi	94,94	UPH	2024-02-04
Diğer	1,38	UPH	2024-02-04
Takasbank Para Piyasası	3,68	UPH	2024-02-04
Hisse Senedi	94,23	HVS	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,01	HVS	2024-02-04
Takasbank Para Piyasası	3,76	HVS	2024-02-04
Yabancı Hisse Senedi	67,62	ZFB	2024-02-04
Mevduat (TL)	0,75	ZFB	2024-02-04
Hisse Senedi	21,68	ZFB	2024-02-04
Kamu Dış Borçlanma Araçları	1,09	ZFB	2024-02-04
Takasbank Para Piyasası	8,86	ZFB	2024-02-04
Hisse Senedi	96,97	GHS	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,4	GHS	2024-02-04
Ters-Repo	0,98	GHS	2024-02-04
Yatırım Fonları Katılma Payları	0,75	GHS	2024-02-04
Takasbank Para Piyasası	0,9	GHS	2024-02-04
Hisse Senedi	90,25	DAH	2024-02-04
Mevduat (TL)	0,78	DAH	2024-02-04
Takasbank Para Piyasası	7,68	DAH	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,29	DAH	2024-02-04
Hisse Senedi	83,83	YLE	2024-02-04
Yatırım Fonları Katılma Payları	1,68	YLE	2024-02-04
Takasbank Para Piyasası	8,23	YLE	2024-02-04
Mevduat (TL)	2,82	YLE	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,44	YLE	2024-02-04
Hisse Senedi	97,09	AHI	2024-02-04
Takasbank Para Piyasası	1,37	AHI	2024-02-04
Diğer	1,54	AHI	2024-02-04
Hisse Senedi	95,95	GL1	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,86	GL1	2024-02-04
Yatırım Fonları Katılma Payları	2,19	GL1	2024-02-04
Yabancı Borsa Yatırım Fonları	96,06	TFF	2024-02-04
Takasbank Para Piyasası	3,94	TFF	2024-02-04
Yabancı Hisse Senedi	86,6	YAY	2024-02-04
Mevduat (TL)	0,49	YAY	2024-02-04
Yatırım Fonları Katılma Payları	6,63	YAY	2024-02-04
Ters-Repo	0,55	YAY	2024-02-04
Yabancı Borsa Yatırım Fonları	3,69	YAY	2024-02-04
Mevduat (Döviz)	2,04	YAY	2024-02-04
Hisse Senedi	95,56	YDI	2024-02-04
Yatırım Fonları Katılma Payları	1,82	YDI	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,62	YDI	2024-02-04
Hisse Senedi	94,83	OPH	2024-02-04
Diğer	0,02	OPH	2024-02-04
Yatırım Fonları Katılma Payları	5,15	OPH	2024-02-04
Hisse Senedi	94,5	OHB	2024-02-04
Diğer	0,52	OHB	2024-02-04
Takasbank Para Piyasası	4,98	OHB	2024-02-04
Hisse Senedi	96,12	ZLH	2024-02-04
Yatırım Fonları Katılma Payları	0,01	ZLH	2024-02-04
Ters-Repo	3,87	ZLH	2024-02-04
Hisse Senedi	38,87	TPP	2024-02-04
Takasbank Para Piyasası	-4,48	TPP	2024-02-04
Yabancı Hisse Senedi	24,84	TPP	2024-02-04
Diğer	0,49	TPP	2024-02-04
Devlet Tahvili	14,64	TPP	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,14	TPP	2024-02-04
Yatırım Fonları Katılma Payları	9,22	TPP	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	5,91	TPP	2024-02-04
Yabancı Borsa Yatırım Fonları	7,37	TPP	2024-02-04
Hisse Senedi	86,71	YAS	2024-02-04
Finansman Bonosu	1,86	YAS	2024-02-04
Yatırım Fonları Katılma Payları	4,57	YAS	2024-02-04
Özel Sektör Tahvili	3,18	YAS	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,68	YAS	2024-02-04
Hisse Senedi	87,28	GKF	2024-02-04
Yatırım Fonları Katılma Payları	12,72	GKF	2024-02-04
Hisse Senedi	92,94	GZR	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,16	GZR	2024-02-04
Ters-Repo	5,88	GZR	2024-02-04
Takasbank Para Piyasası	1,01	GZR	2024-02-04
Hisse Senedi	55,68	ACD	2024-02-04
Devlet Tahvili	0,45	ACD	2024-02-04
Finansman Bonosu	33,57	ACD	2024-02-04
Özel Sektör Kira Sertifikaları	1,43	ACD	2024-02-04
Özel Sektör Tahvili	5,04	ACD	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,83	ACD	2024-02-04
Yabancı Hisse Senedi	54,86	MET	2024-02-04
Finansman Bonosu	0,38	MET	2024-02-04
Hisse Senedi	31,37	MET	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,58	MET	2024-02-04
Takasbank Para Piyasası	9,81	MET	2024-02-04
Hisse Senedi	91,49	IHT	2024-02-04
Takasbank Para Piyasası	8,51	IHT	2024-02-04
Hisse Senedi	99,8	OPI	2024-02-04
Yatırım Fonları Katılma Payları	0,09	OPI	2024-02-04
Diğer	0,11	OPI	2024-02-04
Hisse Senedi	54,77	ECA	2024-02-04
Yatırım Fonları Katılma Payları	8,1	ECA	2024-02-04
Finansman Bonosu	19,0	ECA	2024-02-04
Vadeli İşlemler Nakit Teminatları	18,13	ECA	2024-02-04
Hisse Senedi	90,28	TLH	2024-02-04
Vadeli İşlemler Nakit Teminatları	9,72	TLH	2024-02-04
Hisse Senedi	70,64	IJA	2024-02-04
Mevduat (TL)	2,34	IJA	2024-02-04
Vadeli İşlemler Nakit Teminatları	7,59	IJA	2024-02-04
Yatırım Fonları Katılma Payları	3,41	IJA	2024-02-04
Takasbank Para Piyasası	6,73	IJA	2024-02-04
Finansman Bonosu	4,37	IJA	2024-02-04
Diğer	4,92	IJA	2024-02-04
Yabancı Hisse Senedi	60,92	IVY	2024-02-04
Takasbank Para Piyasası	0,02	IVY	2024-02-04
Finansman Bonosu	20,58	IVY	2024-02-04
Yatırım Fonları Katılma Payları	6,36	IVY	2024-02-04
Yabancı Borsa Yatırım Fonları	12,12	IVY	2024-02-04
Hisse Senedi	62,58	AED	2024-02-04
Takasbank Para Piyasası	1,04	AED	2024-02-04
Yatırım Fonları Katılma Payları	16,22	AED	2024-02-04
Devlet Tahvili	1,56	AED	2024-02-04
Finansman Bonosu	9,08	AED	2024-02-04
Diğer	3,88	AED	2024-02-04
Özel Sektör Tahvili	5,64	AED	2024-02-04
Yabancı Hisse Senedi	63,62	MTX	2024-02-04
Takasbank Para Piyasası	9,79	MTX	2024-02-04
Yatırım Fonları Katılma Payları	16,57	MTX	2024-02-04
Hisse Senedi	10,02	MTX	2024-02-04
Hisse Senedi	94,33	DPT	2024-02-04
Mevduat (TL)	0,37	DPT	2024-02-04
Takasbank Para Piyasası	5,3	DPT	2024-02-04
Hisse Senedi	94,5	IVF	2024-02-04
Diğer	5,5	IVF	2024-02-04
Hisse Senedi	97,99	MAC	2024-02-04
Takasbank Para Piyasası	2,01	MAC	2024-02-04
Yabancı Hisse Senedi	95,85	AFT	2024-02-04
Diğer	2,57	AFT	2024-02-04
Takasbank Para Piyasası	2,82	AFT	2024-02-04
Hisse Senedi	78,12	SVB	2024-02-04
Vadeli İşlemler Nakit Teminatları	10,35	SVB	2024-02-04
Takasbank Para Piyasası	11,53	SVB	2024-02-04
Hisse Senedi	94,29	DLD	2024-02-04
Mevduat (TL)	1,06	DLD	2024-02-04
Takasbank Para Piyasası	4,65	DLD	2024-02-04
Yabancı Hisse Senedi	45,71	KIB	2024-02-04
Yabancı Borsa Yatırım Fonları	2,71	KIB	2024-02-04
Hisse Senedi	27,43	KIB	2024-02-04
Yatırım Fonları Katılma Payları	4,68	KIB	2024-02-04
Takasbank Para Piyasası	14,51	KIB	2024-02-04
Vadeli İşlemler Nakit Teminatları	4,96	KIB	2024-02-04
Yatırım Fonları Katılma Payları	41,84	USY	2024-02-04
Mevduat (Döviz)	0,68	USY	2024-02-04
Yabancı Hisse Senedi	31,62	USY	2024-02-04
Diğer	0,95	USY	2024-02-04
Döviz Cinsi Kamu İç Borçlanma Araçları	13,23	USY	2024-02-04
Takasbank Para Piyasası	1,16	USY	2024-02-04
Hisse Senedi	10,52	USY	2024-02-04
Yabancı Hisse Senedi	69,03	ITP	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,69	ITP	2024-02-04
Finansman Bonosu	9,68	ITP	2024-02-04
Yabancı Borsa Yatırım Fonları	0,85	ITP	2024-02-04
Hisse Senedi	7,06	ITP	2024-02-04
Yatırım Fonları Katılma Payları	0,97	ITP	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	6,72	ITP	2024-02-04
Ters-Repo	1,52	ITP	2024-02-04
Özel Sektör Tahvili	3,48	ITP	2024-02-04
Hisse Senedi	96,27	MMH	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,65	MMH	2024-02-04
Yatırım Fonları Katılma Payları	3,08	MMH	2024-02-04
Hisse Senedi	30,8	GAK	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	0,58	GAK	2024-02-04
Finansman Bonosu	26,18	GAK	2024-02-04
Özel Sektör Kira Sertifikaları	0,84	GAK	2024-02-04
Kamu Dış Borçlanma Araçları	15,99	GAK	2024-02-04
Özel Sektör Tahvili	1,41	GAK	2024-02-04
Özel Sektör Dış Borçlanma Araçları	9,98	GAK	2024-02-04
Diğer	1,59	GAK	2024-02-04
Devlet Tahvili	5,29	GAK	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,88	GAK	2024-02-04
Yatırım Fonları Katılma Payları	2,87	GAK	2024-02-04
Mevduat (Döviz)	2,59	GAK	2024-02-04
Hisse Senedi	88,5	TKF	2024-02-04
Mevduat (Döviz)	0,59	TKF	2024-02-04
Takasbank Para Piyasası	5,86	TKF	2024-02-04
Finansman Bonosu	0,69	TKF	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,3	TKF	2024-02-04
Yatırım Fonları Katılma Payları	2,06	TKF	2024-02-04
Hisse Senedi	99,73	ZJL	2024-02-04
Yatırım Fonları Katılma Payları	0,02	ZJL	2024-02-04
Ters-Repo	0,24	ZJL	2024-02-04
Hisse Senedi	86,56	TZD	2024-02-04
Repo	-1,88	TZD	2024-02-04
Borsa Yatırım Fonları Katılma Payları	13,2	TZD	2024-02-04
Ters-Repo	0,14	TZD	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	0,74	TZD	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,53	TZD	2024-02-04
Yatırım Fonları Katılma Payları	0,7	TZD	2024-02-04
Hisse Senedi	92,58	FPH	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	0,31	FPH	2024-02-04
Ters-Repo	3,33	FPH	2024-02-04
Mevduat (TL)	0,68	FPH	2024-02-04
Takasbank Para Piyasası	1,53	FPH	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,71	FPH	2024-02-04
Yatırım Fonları Katılma Payları	0,86	FPH	2024-02-04
Hisse Senedi	98,06	ST1	2024-02-04
Takasbank Para Piyasası	0,21	ST1	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,73	ST1	2024-02-04
Hisse Senedi	89,93	ELZ	2024-02-04
Diğer	0,01	ELZ	2024-02-04
Yatırım Fonları Katılma Payları	5,95	ELZ	2024-02-04
Katılma Hesabı (TL)	4,11	ELZ	2024-02-04
Yatırım Fonları Katılma Payları	100,0	IZB	2024-02-04
Hisse Senedi	91,31	YUB	2024-02-04
Yatırım Fonları Katılma Payları	0,19	YUB	2024-02-04
Vadeli İşlemler Nakit Teminatları	5,08	YUB	2024-02-04
Mevduat (TL)	3,42	YUB	2024-02-04
Yatırım Fonları Katılma Payları	52,23	ZSG	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,87	ZSG	2024-02-04
Yabancı Hisse Senedi	25,37	ZSG	2024-02-04
Ters-Repo	8,05	ZSG	2024-02-04
Borsa Yatırım Fonları Katılma Payları	11,48	ZSG	2024-02-04
Yabancı Hisse Senedi	71,78	ODP	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,31	ODP	2024-02-04
Yatırım Fonları Katılma Payları	27,91	ODP	2024-02-04
Yabancı Hisse Senedi	53,67	YPC	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,47	YPC	2024-02-04
Hisse Senedi	31,47	YPC	2024-02-04
Yabancı Borsa Yatırım Fonları	5,89	YPC	2024-02-04
Yatırım Fonları Katılma Payları	8,5	YPC	2024-02-04
Yabancı Hisse Senedi	50,73	HOA	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,8	HOA	2024-02-04
Yabancı Borsa Yatırım Fonları	16,33	HOA	2024-02-04
Mevduat (TL)	1,72	HOA	2024-02-04
Hisse Senedi	12,56	HOA	2024-02-04
Takasbank Para Piyasası	2,22	HOA	2024-02-04
Yabancı Kamu Borçlanma Araçları	6,14	HOA	2024-02-04
Diğer	3,94	HOA	2024-02-04
Finansman Bonosu	5,56	HOA	2024-02-04
Hisse Senedi	27,33	RPD	2024-02-04
Varlığa Dayalı Menkul Kıymetler	0,39	RPD	2024-02-04
Vadeli İşlemler Nakit Teminatları	24,93	RPD	2024-02-04
Gayrimenkul Yatırım Fonları Katılma Payları	0,48	RPD	2024-02-04
Finansman Bonosu	16,37	RPD	2024-02-04
Katılma Hesabı (TL)	1,73	RPD	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	9,53	RPD	2024-02-04
Özel Sektör Kira Sertifikaları	1,92	RPD	2024-02-04
Diğer	5,42	RPD	2024-02-04
Takasbank Para Piyasası	2,78	RPD	2024-02-04
Mevduat (TL)	5,19	RPD	2024-02-04
Yatırım Fonları Katılma Payları	3,93	RPD	2024-02-04
Hisse Senedi	91,31	GKV	2024-02-04
Kamu Kira Sertifikaları (TL)	0,48	GKV	2024-02-04
Katılma Hesabı (TL)	8,21	GKV	2024-02-04
Hisse Senedi	60,07	DBP	2024-02-04
Mevduat (TL)	0,25	DBP	2024-02-04
Kamu Dış Borçlanma Araçları	13,1	DBP	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	0,66	DBP	2024-02-04
Yatırım Fonları Katılma Payları	11,04	DBP	2024-02-04
Mevduat (Döviz)	3,01	DBP	2024-02-04
Takasbank Para Piyasası	6,67	DBP	2024-02-04
Finansman Bonosu	5,2	DBP	2024-02-04
Hisse Senedi	98,07	TLZ	2024-02-04
Diğer	1,93	TLZ	2024-02-04
Yabancı Hisse Senedi	34,82	FJB	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,6	FJB	2024-02-04
Yabancı Borsa Yatırım Fonları	28,25	FJB	2024-02-04
Takasbank Para Piyasası	0,81	FJB	2024-02-04
Yatırım Fonları Katılma Payları	27,64	FJB	2024-02-04
Mevduat (TL)	7,88	FJB	2024-02-04
Hisse Senedi	90,66	GIE	2024-02-04
Takasbank Para Piyasası	9,34	GIE	2024-02-04
Yabancı Hisse Senedi	75,94	RTG	2024-02-04
Diğer	2,64	RTG	2024-02-04
Yatırım Fonları Katılma Payları	13,37	RTG	2024-02-04
Hisse Senedi	8,05	RTG	2024-02-04
Hisse Senedi	87,71	TGA	2024-02-04
Takasbank Para Piyasası	2,05	TGA	2024-02-04
Vadeli İşlemler Nakit Teminatları	7,56	TGA	2024-02-04
Ters-Repo	2,69	TGA	2024-02-04
Yabancı Borsa Yatırım Fonları	94,47	GUH	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,43	GUH	2024-02-04
Takasbank Para Piyasası	5,1	GUH	2024-02-04
Hisse Senedi	92,77	AYA	2024-02-04
Diğer	7,23	AYA	2024-02-04
Hisse Senedi	61,22	OKD	2024-02-04
Özel Sektör Tahvili	4,74	OKD	2024-02-04
Finansman Bonosu	15,81	OKD	2024-02-04
Takasbank Para Piyasası	5,4	OKD	2024-02-04
Diğer	6,9	OKD	2024-02-04
Yatırım Fonları Katılma Payları	5,93	OKD	2024-02-04
Hisse Senedi	80,77	ZPE	2024-02-04
Katılma Hesabı (TL)	2,21	ZPE	2024-02-04
Borsa Yatırım Fonları Katılma Payları	17,02	ZPE	2024-02-04
Yatırım Fonları Katılma Payları	67,25	KTS	2024-02-04
Hisse Senedi	32,75	KTS	2024-02-04
Hisse Senedi	48,73	HVU	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	0,31	HVU	2024-02-04
Finansman Bonosu	29,38	HVU	2024-02-04
Yabancı Borsa Yatırım Fonları	0,98	HVU	2024-02-04
Yatırım Fonları Katılma Payları	8,46	HVU	2024-02-04
Mevduat (Döviz)	2,49	HVU	2024-02-04
Yabancı Hisse Senedi	3,8	HVU	2024-02-04
Mevduat (TL)	2,53	HVU	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,32	HVU	2024-02-04
Yabancı Hisse Senedi	67,24	GBV	2024-02-04
Takasbank Para Piyasası	2,04	GBV	2024-02-04
Hisse Senedi	20,18	GBV	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,25	GBV	2024-02-04
Özel Sektör Dış Borçlanma Araçları	8,28	GBV	2024-02-04
Hisse Senedi	35,07	KIA	2024-02-04
Yatırım Fonları Katılma Payları	4,44	KIA	2024-02-04
